City,State,Latitude,Longitude
Big Cabin,OK,36.533954,-95.224568
Tomah,WI,43.983826,-90.473336
Gila Bend,AZ,32.94782,-112.71683
Fort Smith,AR,35.366188,-94.416458
Columbia,NJ,40.92621,-75.09268
Mount Jackson,VA,38.785693,-78.680304
Jarrell,TX,30.811931,-97.594186
Shorter,AL,32.383939,-85.910123
Seymour,IN,38.944827,-86.010789
Council Bluffs,IA,41.23238,-95.875086
Sterling,ND,46.876069,-100.277434
Montrose,CO,38.484148,-107.770845
Laurel,DE,38.5565,-75.57131
New Castle,DE,39.592895,-75.651466
Ellenton,FL,27.546332,-82.496732
Dumont,CO,39.76471,-105.60028
Crawfordville,GA,33.577007,-82.858099
Bridgeport,MI,,
Lupton,AZ,35.35391,-109.0537
Eloy,AZ,32.914889,-111.261161
Henderson,KY,37.807173,-87.599052
Effingham,IL,39.116649,-88.545705
Atkinson,IL,41.405502,-89.998274
Daleville,IN,40.143843,-85.508457
Fort Wayne,IN,41.065397,-85.15842
Gothenburg,NE,40.945256,-100.129125
Jacksonville,FL,30.389438,-81.680806
Denham Springs,LA,30.607221,-90.907376
Lake Station,IN,41.57504,-87.23892
Hebron,IN,41.347188,-87.152358
Nacogdoches,TX,31.558383,-94.504452
Moorcroft,WY,44.415431,-104.838916
Latimer,IA,42.782628,-93.389744
Clear Lake,IA,43.13802,-93.37937
Stuart,IA,41.573966,-94.339598
West Memphis,AR,35.144685,-90.189236
Atwood,CO,40.55017,-103.27903
Salina,KS,38.823673,-97.642113
Highland,IN,41.546491,-87.457213
Sardinia,OH,39.005468,-83.799563
Ocean Springs,MS,30.405229,-88.758742
Mount Vernon,KY,36.637005,-85.509135
Ocala,FL,29.198907,-82.087425
Port Allen,LA,30.494882,-91.309262
Lake Village,IN,41.108242,-87.418963
Duson,LA,30.187978,-92.168953
New Orleans,LA,29.958304,-90.077
Hays,KS,38.878202,-99.334803
Grantsville,MD,39.655141,-79.124143
Great Falls,MT,47.511219,-111.2755
Bridgman,MI,41.942151,-86.544561
Dodge City,KS,37.690531,-99.902421
Monroe,MI,41.907196,-83.472457
Carlisle,IN,38.966806,-87.384354
Taylorsville,IN,39.295266,-85.949844
Lawrence,KS,39.023294,-95.208909
Cherryvale,KS,37.27034,-95.55248
Matfield Green,KS,38.15918,-96.56057
Springfield,MA,42.170731,-72.604842
Kansas City,KS,39.103053,-94.630384
Ogallala,NE,41.131676,-101.663033
Willard,UT,41.40911,-112.03606
Saint Johns,FL,30.081182,-81.544485
Portage,IN,41.57587,-87.17615
Binghamton,NY,42.165629,-75.890685
Gansevoort,NY,43.204261,-73.707415
Hammond,IN,41.691701,-87.510921
Jacksonville,TX,31.96378,-95.2705
Yuma,AZ,32.701461,-114.657232
Sunbury,OH,40.266029,-82.854334
Seville,OH,41.044552,-81.960694
Hebron,OH,39.974804,-82.511108
Perrysburg,OH,41.535057,-83.577701
Oklahoma City,OK,35.491608,-97.562817
Choctaw,OK,35.51876,-97.249071
Dublin,GA,33.09374,-84.57382
Alliance,NE,42.09302,-102.8702
Ruther Glen,VA,37.948572,-77.437767
Woodburn,IN,41.125044,-84.874249
Rock Port,MO,40.411994,-95.507551
Gilbert,SC,33.925422,-81.410107
Orangeburg,SC,33.490935,-80.821825
Alamosa,CO,37.479933,-105.790967
Toomsuba,MS,32.41847,-88.50698
Pembina,ND,48.85897,-97.288585
Guymon,OK,36.729713,-101.426147
Laredo,TX,27.515879,-99.494078
Moore,MT,46.974485,-109.693316
Heiskell,TN,36.087461,-84.041266
Knoxville,TN,36.032334,-83.884804
Van Horn,TX,31.03912,-104.824473
Lore City,OH,40.052671,-81.435723
Gainesville,GA,33.09374,-84.57382
West Point,MS,33.621135,-88.609136
Wanatah,IN,41.421123,-86.872078
Peru,IL,41.32753,-89.12897
Maumelle,AR,34.857241,-92.390298
Gary,IN,41.599336,-87.336338
Egan,LA,30.256951,-92.486465
Troutdale,OR,45.525007,-122.390049
Rock Springs,WY,41.634515,-109.149045
Prosser,WA,46.148328,-119.559674
Cottondale,AL,33.18178,-87.383843
Concordia,MO,39.015918,-93.59571
Sidney,NE,41.161943,-103.066015
Lebanon,NH,43.637148,-72.23546
Montgomery,NY,41.52759,-74.23682
Geneva,OH,41.7769,-80.949898
Edmonton,AB,37.000783,-85.609522
Albany,OR,44.65345,-123.139526
Holladay,TN,35.905992,-88.078052
Nanton,AB,41.332034,-96.949369
Canutillo,TX,31.907296,-106.596493
Thorofare,NJ,39.84234,-75.19629
Summit,SD,45.30204,-97.036537
Randolph,NY,42.162,-78.97532
Wichita,KS,37.651974,-97.258997
Ottumwa,IA,41.030933,-92.409827
Greenup,KY,38.57313,-82.83017
Evans,CO,40.37637,-104.69219
Alexandria,MO,40.357643,-91.45886
Barneveld,WI,43.008396,-89.897387
North Chicago,IL,42.324027,-87.856704
Sylvania,GA,33.09374,-84.57382
Pelham,AL,33.293157,-86.767961
Mc Calla,AL,33.299704,-87.048881
Conway,AR,35.065889,-92.362875
Phoenix,AZ,33.703967,-112.351835
Quartzsite,AZ,33.729219,-114.192454
Blackfoot,ID,43.251328,-112.464518
Lake City,FL,30.105451,-82.68778
Marianna,FL,30.799574,-85.229347
Thomson,GA,33.494908,-82.513847
Denison,IA,42.037235,-95.381819
Parkersburg,IA,42.655813,-92.824122
Eden,ID,42.586804,-114.246706
Wadsworth,IL,42.440139,-87.940027
Ina,IL,38.155485,-88.819501
Oakwood,IL,40.133222,-87.756376
Divernon,IL,39.569165,-89.662571
Greenfield,IN,39.821787,-85.775403
Knightstown,IN,39.7956,-85.52636
Cedar Creek,TX,30.083931,-97.486885
Shelbyville,IN,39.511568,-85.791993
Terre Haute,IN,39.433602,-87.410094
Valparaiso,IN,41.454731,-87.065565
Emporia,KS,38.434153,-96.152766
Georgetown,KY,38.239718,-84.574498
Lebanon Junction,KY,37.83451,-85.7319
Saint Francisville,LA,30.869398,-91.418642
Leominster,MA,42.52509,-71.75979
Perryville,MD,39.571449,-76.033281
Kalamazoo,MI,42.264543,-85.561545
Paw Paw,MI,42.243011,-85.930846
Austin,MN,43.699305,-92.976818
Pillager,MN,46.32944,-94.475
Bowling Green,MO,39.316369,-91.174859
Lamar,MO,37.519054,-94.336385
Palmyra,MO,39.794531,-91.609424
Sedalia,MO,38.703138,-93.240166
West Plains,MO,36.74651,-91.882912
Corinth,MS,34.87589,-88.591575
Greenville,MS,33.314539,-91.02297
Red Banks,MS,34.893744,-89.564928
Mebane,NC,36.087114,-79.306093
Sanford,NC,35.469782,-79.171723
Wilmington,NC,34.271985,-77.963628
Wilson,NC,35.723264,-77.925269
Grand Island,NE,40.87227,-98.368698
Bordentown,NJ,40.101535,-74.724711
Fairfield,NJ,40.875948,-74.29681
Mahwah,NJ,41.083159,-74.185895
Palmyra,NJ,40.00706,-75.02823
Milan,NM,35.16976,-107.89089
Rolling Prairie,IN,41.686609,-86.599414
Canton,OH,40.79979,-81.375811
Lima,OH,40.772147,-84.0471
Montpelier,OH,41.606061,-84.588777
Billings,OK,36.513543,-97.408128
Clinton,OK,35.51561,-98.96731
Covington,IN,40.096833,-87.352877
Breezewood,PA,39.98344,-78.251177
Gettysburg,PA,39.840922,-77.226591
Lafayette,IN,40.417778,-86.889633
Mechanicsburg,PA,40.182917,-77.004599
Lugoff,SC,34.260265,-80.731308
Cheyenne,WY,41.092356,-104.936269
Chesnee,SC,35.14845,-81.86094
Rockmart,GA,33.993766,-85.091511
Florence,SC,34.205933,-79.82626
Inman,SC,35.075367,-82.02964
Lexington,SC,33.925183,-81.248345
Beech Island,SC,33.470747,-81.8639
Duncan,SC,34.905552,-82.124414
Greeneville,TN,36.131582,-82.869219
Chattanooga,TN,35.017818,-85.206426
Memphis,TN,35.050667,-89.847782
Amarillo,TX,35.20603,-101.839602
Brownfield,TX,33.172013,-102.335299
Dilley,TX,28.763313,-99.217995
Dumas,TX,35.9216,-101.92026
Freer,TX,27.899181,-98.614928
Seibert,CO,39.322355,-102.881192
Irving,NY,42.543516,-79.101301
Wildersville,TN,35.78145,-88.36032
Des Moines,IA,41.672687,-93.572173
Butte,MT,45.997895,-112.598765
Andrews,TX,32.370377,-102.523255
Jamestown,NM,35.427243,-108.446455
Eighty Four,PA,40.17557,-80.099336
Mc Graw,NY,42.597468,-76.072949
Beaumont,MS,31.185365,-88.920132
Marysville,WA,48.049576,-122.161951
Baltimore,MD,39.296536,-76.623489
Ripley,WV,38.791845,-81.728065
Birmingham,AL,33.456412,-86.801904
Bridgeport,TX,33.21012,-97.75476
Commerce City,CO,39.869835,-104.771527
Bowman,SC,33.341855,-80.565482
Las Cruces,NM,32.290052,-106.753893
Von Ormy,TX,29.28913,-98.64446
Oak Creek,WI,42.886266,-87.89198
Roscoe,TX,32.384442,-100.572217
Plymouth,IN,41.352997,-86.301486
Chicago,IL,41.88531,-87.62213
Cameron,TX,30.812561,-96.902747
Calhoun,LA,32.496897,-92.337078
Fultonville,NY,42.877533,-74.404477
Joplin,MO,37.113343,-94.502663
Dunn,NC,35.272208,-78.568104
Sylacauga,AL,33.189306,-86.238384
Daingerfield,TX,33.044611,-94.739524
Liberal,KS,37.043237,-100.873809
Buna,TX,30.493361,-93.951837
Abbott,TX,31.88454,-97.077218
Howard City,MI,43.382007,-85.442836
Midland,TX,31.992384,-102.081464
Panhandle,TX,35.296115,-101.345689
Perryton,TX,36.408493,-100.687227
Okeechobee,FL,27.420316,-80.945361
Hattiesburg,MS,31.245138,-89.28071
Marshall,TX,32.538112,-94.406228
San Angelo,TX,31.44451,-100.533397
Byron Center,MI,42.81212,-85.72793
San Antonio,TX,29.468413,-98.528889
Sutton,WV,38.654141,-80.67597
Walton,KY,38.88142,-84.665597
Kingman,AZ,35.131719,-113.703932
Benton Harbor,MI,42.14338,-86.348568
Niles,MI,44.662952,-84.089518
Seagoville,TX,32.620763,-96.573555
Lakeville,MN,44.633421,-93.25812
Sterling City,TX,31.882997,-101.030277
Stratford,TX,36.340796,-102.073587
Terrell,TX,32.758408,-96.301323
Three Rivers,TX,27.297687,-97.787713
Tye,TX,32.432954,-99.924042
Whitesboro,TX,33.65622,-96.90695
Cedar City,UT,37.590013,-113.187631
Green River,UT,39.020075,-110.213864
Park City,UT,40.652531,-111.501916
Salina,UT,38.95774,-111.85992
Wellington,KS,37.280877,-97.42223
Woods Cross,UT,40.889027,-111.926646
Austinville,VA,36.854655,-80.922512
Bristol,VA,36.613815,-82.176238
Dublin,VA,37.122327,-80.752614
Lambsburg,VA,36.58637,-80.759966
King George,VA,38.277209,-77.17225
Staunton,VA,38.157368,-79.065116
Gordonsville,VA,38.175906,-78.181467
Suffolk,VA,36.874916,-76.553061
Toms Brook,VA,38.94761,-78.433111
Wytheville,VA,36.92855,-81.146559
Montpelier,VT,44.19906,-72.559638
Grayson,KY,38.324893,-83.000742
Spokane,WA,47.66264,-117.435997
Toledo,WA,46.456038,-122.79498
Bloomer,WI,45.10024,-91.48877
Camp Douglas,WI,43.988481,-90.239261
Marinette,WI,45.086805,-87.716311
Superior,WI,46.574982,-92.117578
Sheboygan,WI,43.71011,-87.735217
Bruceton Mills,WV,39.666293,-79.620241
Huntington,WV,38.371727,-82.412866
Ivydale,WV,38.53565,-81.03483
Mills,WY,42.84052,-106.36586
Casper,WY,42.859875,-106.312561
Douglas,WY,42.894084,-105.389691
Pine Bluffs,WY,41.08498,-104.08995
Wamsutter,WY,41.67301,-107.97925
Seymour,TX,33.620131,-99.263681
Slaton,TX,33.43731,-101.64349
Wickett,TX,31.569243,-103.006747
Logan,UT,41.717722,-111.836493
Richfield,UT,38.738771,-112.074362
Snowville,UT,41.965964,-112.726895
Reedsburg,WI,43.393767,-89.95589
Laramie,WY,41.43902,-105.801022
Thurmont,MD,39.610876,-77.398931
Fairmont,MN,43.674049,-94.51078
Saint Cloud,MN,45.519196,-94.330619
Raphine,VA,37.941296,-79.276332
Mount Nebo,WV,38.20011,-80.85121
Jackson,OH,39.03738,-82.628954
Ravenna,OH,41.163755,-81.172922
Lynn,AL,34.049571,-87.552646
North Little Rock,AR,34.766561,-92.262899
Braselton,GA,34.10927,-83.76267
Register,GA,32.36712,-81.884
Naperville,IL,41.759029,-88.152381
Saint Louis,MO,38.631501,-90.19231
Millbury,OH,41.56616,-83.42465
Cross Plains,TN,36.54866,-86.69611
Bartow,FL,27.918445,-81.790794
Bedford,PA,39.95464,-78.574759
Rock Hill,SC,34.909109,-81.052437
Christiana,TN,35.695974,-86.368041
Portsmouth,VA,36.811498,-76.367715
Prentice,WI,45.532944,-90.28166
Royse City,TX,32.919754,-96.35631
Franklin,OH,39.55895,-84.30411
Janesville,WI,42.738888,-89.0403
Rawlins,WY,41.79107,-107.23866
Penns Grove,NJ,39.72956,-75.46797
Aurora,OR,45.224241,-122.8198
Riverton,WY,43.02496,-108.3801
Nashville,IL,38.331439,-89.3674
Erie,CO,40.05026,-105.04998
Mineral Wells,WV,39.189677,-81.513911
Hanover,KS,39.867079,-96.896534
Hooker,OK,36.810851,-101.216333
Lamar,CO,38.08723,-102.62075
Fremont,IN,41.711462,-84.945643
Heyburn,ID,42.564732,-113.809824
Wells River,VT,44.15423,-72.04704
Downey,ID,42.473005,-112.120195
Clarksville,TN,36.522633,-87.334932
Weedsport,NY,43.046493,-76.555316
Chehalis,WA,46.615653,-123.024845
Tonopah,AZ,33.49365,-112.93712
Tallulah,LA,32.4326,-91.064535
Neosho,MO,36.904539,-94.372328
Pueblo,CO,38.293234,-104.536493
Bainbridge,GA,30.888734,-84.617836
Moulton,AL,34.492894,-87.299281
Sparks,NV,39.540398,-119.749111
New Philadelphia,OH,40.48979,-81.44567
Lewiston,ID,46.3646,-116.860852
Lyman,WY,41.331817,-110.303367
Fargo,ND,46.927094,-96.834703
Dandridge,TN,36.000789,-83.423276
Fort Hall,ID,43.033131,-112.428535
Rustburg,VA,37.283924,-79.090832
Albuquerque,NM,35.199592,-106.644831
Jasper,TX,30.867257,-93.997666
Harrisburg,PA,40.258655,-76.894376
Steele,ND,46.875966,-99.798975
Charlotte,NC,35.26002,-80.804151
Jamestown,ND,46.921005,-98.745485
Monroe,LA,32.502833,-92.094583
Kadoka,SD,43.824178,-101.389524
Knoxville,AL,32.973874,-87.781565
Delta,LA,32.3257,-90.92705
Live Oak,FL,30.175865,-83.030438
Greencastle,PA,39.805922,-77.726127
Cardwell,MO,36.04701,-90.29288
Madison Heights,VA,37.475715,-79.140618
Merrill,WI,45.217518,-89.713291
Dothan,AL,31.148124,-85.371845
Champlain,NY,44.98643,-73.44653
Jackson,GA,33.319863,-83.981112
Grand Junction,CO,39.069019,-108.583126
Calumet,OK,35.547575,-98.151236
Tuscumbia,AL,34.66604,-87.749232
Tulsa,OK,36.063095,-95.804231
Tonkawa,OK,36.67837,-97.31004
Jasper,AL,33.796234,-87.316923
Cookeville,TN,36.217846,-85.542327
New Paris,IN,41.47867,-85.8192
Kent,WA,47.405479,-122.195772
Manchester,TN,35.497637,-86.07482
Colman,SD,43.984778,-96.814237
Perham,MN,46.59667,-95.575
Polk City,FL,28.18251,-81.82397
Oak Grove,KY,36.66505,-87.44279
Bald Knob,AR,35.331399,-91.520754
Pompano Beach,FL,26.234772,-80.120584
Summerville,SC,33.051384,-80.18854
Falfurrias,TX,27.223209,-98.145056
Earle,AR,35.27509,-90.46677
Lusk,WY,42.964197,-104.385106
Milton,PA,40.993883,-76.847896
Central Square,NY,43.28674,-76.14604
Greenland,NH,43.0362,-70.83283
Meridian,MS,32.381605,-88.663489
Longmont,CO,40.164837,-105.103179
Winnsboro,SC,34.387337,-81.082923
Winnfield,LA,31.914948,-92.669269
Metter,GA,33.09374,-84.57382
Jane Lew,WV,39.109143,-80.441713
Federal Way,WA,47.307713,-122.315773
Seguin,TX,29.578734,-97.951829
Remington,IN,40.76087,-87.15085
Georgetown,TX,30.668034,-97.574706
Orlando,FL,28.545179,-81.373291
Algona,IA,43.109313,-94.166994
Boise,ID,43.603768,-116.272921
Savannah,GA,33.09374,-84.57382
Kannapolis,NC,35.462981,-80.672531
Springfield,VT,43.28904,-72.47592
Perry,GA,32.43194,-83.722649
Cartersville,GA,34.200787,-84.847108
Orange,TX,30.071743,-93.864976
Livingston,TX,30.682947,-94.897605
Anna,OH,40.407239,-84.203271
Jefferson,IA,42.007323,-94.372586
South Saint Paul,MN,44.890315,-93.049879
Sinclair,WY,41.780239,-107.117226
Lovelock,NV,40.251285,-118.400276
Winnie,TX,29.823383,-94.475364
Fort Bridger,WY,41.295023,-110.399094
Parowan,UT,37.823412,-112.849246
Saint Joseph,MO,39.765442,-94.844432
Tuscola,IL,39.787385,-88.274137
South Bend,IN,41.673383,-86.251654
Toledo,OH,41.720684,-83.569359
Brazil,IN,39.52365,-87.12502
Wilmington,OH,39.444985,-83.824424
Snow Shoe,PA,41.03089,-77.94945
Alice,TX,27.703829,-98.055296
New Baltimore,MI,42.67424,-82.773842
Warren,IN,40.712066,-85.468798
Hogansburg,NY,44.980232,-74.647334
Albert Lea,MN,43.686288,-93.389838
Chamberlain,SD,43.752355,-99.301892
Loretto,PA,40.517191,-78.61487
Cochranton,PA,41.51838,-80.047368
Albany,NY,42.614852,-73.970812
West Helena,AR,34.530216,-90.681442
Columbus,MT,45.657453,-109.206617
Newport,AR,35.569278,-91.203951
Emporia,VA,36.694745,-77.535517
Burlington,CO,39.30611,-102.26936
Crook,CO,40.85888,-102.80103
Denver,CO,39.760189,-104.996553
Jackson,MN,43.650174,-95.021954
Colorado Springs,CO,38.828893,-104.809929
Perry,OK,36.318709,-97.285561
Greenwood,DE,38.82458,-75.588771
Deer Lodge,MT,46.401859,-112.642136
Bradenton,FL,27.404731,-82.470456
Palisades Park,NJ,40.84816,-73.99764
Fort Lauderdale,FL,26.121323,-80.127909
Lebanon,TN,36.267266,-86.291167
Moberly,MO,39.425513,-92.428348
Lake Placid,FL,27.336002,-81.36628
Mattawan,MI,42.244501,-85.805041
Garland,TX,32.931523,-96.615821
Elk City,OK,35.419594,-99.437791
Macclenny,FL,30.28218,-82.12206
El Dorado,AR,33.187446,-92.630038
Baldwin,WI,44.96663,-92.37436
Anderson,SC,34.506502,-82.605626
Russellville,AR,35.279127,-93.140877
Rocky Mount,VA,36.995127,-79.852489
Miami,FL,25.558428,-80.458168
Pryor,OK,36.307279,-95.271696
Enid,OK,36.402681,-97.843091
Atlanta,GA,33.844371,-84.47405
Douglas,GA,31.509338,-82.857131
Midway,GA,33.09374,-84.57382
Thomasville,GA,30.853592,-83.888269
Bemidji,MN,47.571964,-94.801272
Post Falls,ID,47.719292,-116.96746
Port Wentworth,GA,31.911689,-84.506058
Resaca,GA,34.583318,-84.906803
Grand Prairie,TX,32.776671,-97.009389
Bunker Hill,KS,38.868931,-98.676303
Rising Fawn,GA,34.813904,-85.501868
Jean,NV,35.736806,-115.540529
Lawrenceburg,IN,39.152741,-84.891015
Pleasant View,TN,36.402067,-87.032016
Corfu,NY,42.978522,-78.372338
Shreveport,LA,32.498202,-93.750228
Winchester,KY,37.964922,-84.160724
Conley,GA,33.636858,-84.337139
Gap,PA,40.011961,-76.021595
Colfax,IA,41.684507,-93.222321
Dickinson,ND,46.805716,-102.756514
Hope Hull,AL,32.206441,-86.380464
Dubuque,IA,42.545412,-90.6963
Gilman,IL,40.7667,-87.99226
Peosta,IA,42.432281,-90.808309
Combes,TX,26.252832,-97.743596
Evansdale,IA,42.46915,-92.28102
Richmond Hill,GA,31.93827,-81.30344
Bois D Arc,MO,37.224385,-93.540803
Pulaski,GA,32.390728,-81.952461
New Virginia,IA,41.18222,-93.72883
Missouri Valley,IA,41.605102,-95.908803
Sikeston,MO,36.87672,-89.58786
Moriarty,NM,34.94103,-106.055796
Bethany,MO,40.258215,-94.020972
Toledo,IA,42.068965,-92.551725
Underwood,IA,41.382994,-95.721535
Delco,NC,34.283839,-78.260664
Rogers,MN,45.168896,-93.574586
Waterloo,IA,42.441117,-92.339209
Williamsburg,IA,41.649999,-92.065181
Glencoe,KY,38.732647,-84.805495
Lindale,TX,32.506185,-95.400598
Bonners Ferry,ID,48.814078,-116.398202
Wenatchee,WA,47.573816,-120.351884
Virginia Beach,VA,36.844004,-76.12036
Cornersville,TN,35.354815,-86.829364
Plymouth,UT,41.883058,-112.138837
Bloomington,IL,40.476771,-88.992995
Metropolis,IL,37.228995,-88.714524
Mahomet,IL,40.19531,-88.40422
Fergus Falls,MN,46.275351,-96.089852
Greenwood,LA,32.429968,-93.989086
Wildwood,FL,28.844473,-82.078342
Lexington,VA,37.779976,-79.443495
Warrenton,VA,38.689832,-77.836115
Lincoln,IL,40.162779,-89.398361
Marshall,IL,39.39143,-87.69364
Mokena,IL,41.52614,-87.88922
Bergen,NY,43.073792,-78.019684
Belmont,NY,42.242168,-77.963148
Aledo,TX,32.69596,-97.60225
Accident,MD,39.6287,-79.31976
Smithton,PA,40.155299,-79.738092
Straughn,IN,39.83059,-85.284275
Beach,ND,46.91807,-104.00437
West Liberty,IA,41.56919,-91.26071
Weatherford,TX,32.780766,-97.806778
Mountain Home,ID,43.156195,-115.720455
Trinidad,CO,37.269059,-104.5038
Lincoln,AL,33.61316,-86.11831
Beaumont,TX,30.073712,-94.109705
Motley,MN,46.288105,-94.563773
Three Forks,MT,46.858307,-109.023705
Newton,KS,38.044857,-97.317279
Woodhull,IL,41.208513,-90.230506
Commerce,GA,34.217179,-83.482653
Odessa,TX,31.765163,-102.354346
Nampa,ID,43.595567,-116.61063
Greenville,IL,38.884421,-89.423032
Wauseon,OH,41.59151,-84.178148
Cloverdale,IN,39.51477,-86.7939
Sandusky,OH,41.399129,-82.724417
La Place,LA,30.156056,-90.436745
Corbin,KY,36.854371,-84.184688
Clanton,AL,32.856632,-86.652875
Rural Retreat,VA,36.880988,-81.25526
Wisconsin Rapids,WI,44.340837,-89.73492
Marshall,MI,42.265016,-84.948946
Wilson,WI,44.919366,-92.192828
Billings,MT,45.686966,-108.387392
Centreville,MD,39.084003,-76.091375
Linden,NJ,40.626953,-74.250939
Pevely,MO,38.293157,-90.429283
Mount Vernon,MO,37.064637,-93.824061
Winston,MO,39.874071,-94.153677
Cameron,MO,39.74028,-94.24106
Laurel,MS,31.711733,-89.114317
Taylor,MO,39.913861,-91.541024
Fairmont,WV,39.494115,-80.221282
Whitestown,IN,40.022608,-86.346179
Cuba,MO,38.100081,-91.368908
Quaker City,OH,40.040755,-81.313561
Belden,MS,34.31466,-88.78962
Franklin,KY,36.740598,-86.583305
Hobart,IN,41.53226,-87.25504
Kenly,NC,35.59627,-78.12416
Poynette,WI,43.433273,-89.394518
Montpelier,ID,42.28644,-111.29681
Robertsdale,AL,30.5538,-87.71193
Oakley,KS,38.945805,-100.970176
Atalissa,IA,41.57058,-91.16682
Eunice,LA,30.49437,-92.41763
Monett,MO,36.92895,-93.92771
Elkton,MD,39.56186,-75.87574
Norton,KS,39.827955,-99.891726
Edgerton,WI,42.803797,-89.101389
Neelyville,MO,36.56172,-90.50622
Candler,NC,35.5365,-82.69291
Olathe,KS,38.899901,-94.831991
Hammond,LA,30.533587,-90.455381
Pratt,KS,37.63857,-98.758512
Kearny,NJ,40.75175,-74.122937
Moses Lake,WA,47.180684,-119.298979
Troutville,VA,37.41819,-79.87476
North Lima,OH,40.656203,-84.148673
Tallapoosa,GA,33.770057,-85.261585
Northfield,MN,44.4583,-93.1616
Fremont,OH,41.35622,-83.133981
Le Mars,IA,42.79416,-96.16558
Wrens,GA,33.192426,-82.361546
Manheim,PA,40.155927,-76.464018
Ogden,UT,41.221328,-111.957685
San Simon,AZ,32.26786,-109.22756
Max Meadows,VA,36.905629,-80.924423
Concordia,KS,39.551634,-97.656764
Beaver Dam,KY,37.355569,-86.864676
Meade,KS,37.238357,-100.316583
Caneyville,KY,37.42422,-86.48831
Idaho Falls,ID,43.54241,-111.877936
Glendale,KY,37.60173,-85.90552
Cocoa,FL,28.373,-80.742906
Halsey,OR,44.385837,-123.115961
Punta Gorda,FL,26.902989,-82.046244
East Bernstadt,KY,37.248761,-84.13796
Hancock,MD,39.69898,-78.17973
Marston,MO,36.51895,-89.61258
Limon,CO,39.041435,-103.604851
Mount Airy,NC,36.444303,-80.665406
Mount Vernon,IL,38.787524,-89.040989
Gurdon,AR,33.930011,-93.129994
Columbia,MO,38.894165,-92.274145
Norwood,MO,37.160913,-92.415178
Columbus,NE,41.542962,-97.376314
Columbia,SC,33.987454,-81.024864
Lake Charles,LA,30.233355,-93.214903
Paducah,KY,37.031586,-88.713292
North Canton,OH,40.699991,-80.886068
Mandan,ND,46.71312,-100.952585
Rice,TX,32.24376,-96.4986
Mansfield,LA,32.039947,-93.709777
Yakima,WA,46.722625,-120.406039
Lebanon,IN,40.050302,-86.490381
Sorrento,LA,30.18436,-90.85926
Waddy,KY,38.122662,-85.103096
George West,TX,28.302094,-98.104154
Chicopee,MA,42.154904,-72.602804
Waynesville,NC,35.48871,-82.98875
Dakota,MN,43.91358,-91.35986
Madison,GA,33.591117,-83.492928
Big Rapids,MI,43.69808,-85.48366
Dalhart,TX,36.277826,-102.602022
Jessup,MD,39.155266,-76.813394
Menomonie,WI,44.867809,-91.943198
Marlette,MI,43.357539,-83.002816
Lake Park,GA,30.68215,-83.17959
Perry,MI,44.662952,-84.089518
Port Huron,MI,42.984014,-82.467461
Belgium,WI,43.499631,-87.918042
